seed,accuracy
21,0.8181818181818182
22,0.8096590909090909
23,0.8096590909090909
24,0.8181818181818182
25,0.8153409090909091
26,0.8125
27,0.8153409090909091
28,0.8039772727272727
29,0.8096590909090909
30,0.8181818181818182
31,0.8125
32,0.8125
33,0.8238636363636364
34,0.8153409090909091
35,0.8181818181818182
36,0.8153409090909091
37,0.8153409090909091
38,0.8181818181818182
39,0.8238636363636364
40,0.8125
41,0.8210227272727273
42,0.8153409090909091
43,0.8096590909090909
44,0.8238636363636364
45,0.8096590909090909
46,0.8181818181818182
47,0.8096590909090909
48,0.8181818181818182
49,0.8267045454545454
50,0.8068181818181818
51,0.8181818181818182
52,0.8181818181818182
53,0.8125
54,0.8153409090909091
55,0.8125
56,0.8210227272727273
57,0.8068181818181818
58,0.8125
59,0.8153409090909091
60,0.8153409090909091
61,0.8267045454545454
62,0.8096590909090909
63,0.8181818181818182
64,0.8181818181818182
65,0.8295454545454546
66,0.8153409090909091
67,0.8181818181818182
68,0.8125
69,0.8125
70,0.8068181818181818
71,0.8181818181818182
72,0.8153409090909091
73,0.8181818181818182
74,0.8181818181818182
75,0.8210227272727273
76,0.8125
77,0.8096590909090909
78,0.8181818181818182
79,0.8125
80,0.8068181818181818
81,0.8153409090909091
82,0.8267045454545454
83,0.8153409090909091
84,0.8153409090909091
85,0.8125
86,0.8096590909090909
87,0.8068181818181818
88,0.8210227272727273
89,0.8181818181818182
90,0.8096590909090909
91,0.8125
92,0.8068181818181818
93,0.8125
94,0.8068181818181818
95,0.8181818181818182
96,0.8096590909090909
97,0.8153409090909091
98,0.8096590909090909
99,0.8096590909090909
100,0.8125
101,0.8096590909090909
102,0.8153409090909091
103,0.8096590909090909
104,0.8153409090909091
105,0.8181818181818182
106,0.8153409090909091
107,0.8068181818181818
108,0.8153409090909091
109,0.8181818181818182
110,0.8210227272727273
111,0.8096590909090909
112,0.8068181818181818
113,0.8096590909090909
114,0.8210227272727273
115,0.8181818181818182
116,0.8153409090909091
117,0.8039772727272727
118,0.8181818181818182
119,0.8096590909090909
120,0.8267045454545454
121,0.8153409090909091
122,0.8181818181818182
123,0.8068181818181818
124,0.8238636363636364
125,0.8125
126,0.8181818181818182
127,0.8125
128,0.8210227272727273
129,0.8153409090909091
130,0.8039772727272727
131,0.8125
132,0.8181818181818182
133,0.8096590909090909
134,0.8181818181818182
135,0.8125
136,0.8096590909090909
137,0.8181818181818182
138,0.8125
139,0.8210227272727273
140,0.8153409090909091
141,0.8096590909090909
142,0.8181818181818182
143,0.8181818181818182
144,0.8210227272727273
145,0.8125
146,0.8096590909090909
147,0.8181818181818182
148,0.8153409090909091
149,0.8039772727272727
150,0.8125
151,0.8238636363636364
152,0.8153409090909091
153,0.8125
154,0.8267045454545454
155,0.8181818181818182
156,0.8153409090909091
157,0.8153409090909091
158,0.8096590909090909
159,0.8068181818181818
160,0.8039772727272727
161,0.8210227272727273
162,0.8153409090909091
163,0.8096590909090909
164,0.8153409090909091
165,0.8096590909090909
166,0.8125
167,0.8153409090909091
168,0.8238636363636364
169,0.8096590909090909
170,0.8210227272727273
171,0.8238636363636364
172,0.8125
173,0.8125
174,0.8096590909090909
175,0.8181818181818182
176,0.8096590909090909
177,0.8210227272727273
178,0.8153409090909091
179,0.8096590909090909
180,0.8096590909090909
181,0.8125
182,0.8153409090909091
183,0.8153409090909091
184,0.8096590909090909
