         6032 function calls (5989 primitive calls) in 2.882 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/ipykernel/ipkernel.py:768(init_closure)
       57    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/threading.py:1453(current_thread)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      105    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/inspect.py:3002(<genexpr>)
        2    0.000    0.000    0.001    0.001 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/joblib/parallel.py:1433(dispatch_one_batch)
       65    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      228    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/multiprocessing/pool.py:680(_terminate_pool)
       30    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/utils/_array_api.py:381(__getattr__)
      291    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/inspect.py:2722(name)
       11    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/utils/_param_validation.py:484(__contains__)
        1    0.000    0.000    2.882    2.882 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/base.py:1372(wrapper)
        2    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        3    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/multiprocessing/reduction.py:38(__init__)
       19    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/_weakrefset.py:85(add)
       16    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/weakref.py:367(__init__)
        1    0.000    0.000    2.880    2.880 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/treeple/_lib/sklearn/ensemble/_forest.py:641(_construct_trees)
       20    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/threading.py:562(__init__)
