	64	128	256	512	1024	2048	4096
64	0.8149999999999998	0.8175000000000001	0.78	0.8149999999999998	0.775	0.7525	0.675
128	0.8324999999999999	0.8074999999999999	0.76	0.8074999999999999	0.7475	0.7475	0.735
256	0.8299999999999998	0.8100000000000002	0.7725	0.77	0.785	0.79	0.7575
512	0.8375	0.8299999999999998	0.76	0.77	0.7625	0.735	0.75
1024	0.845	0.82	0.76	0.765	0.73	0.725	0.735
2048	0.8299999999999998	0.8324999999999999	0.755	0.7525	0.7225	0.7225	0.7175
4096	0.835	0.845	0.76	0.765	0.735	0.73	0.6925
